scope,label,patch,side,tier,rank_in_tier,champ,role,elo_pp,impact_pp,tier_score,counterability_tax,n,raw_wr,archetype,cb_score,cb_label,obj_pp,fight_pp,lane_pp,vision_pp,tower_pp,lambda,why
msi,MSI,16.13,blue,Z Blind,1,Viktor,mid,5.97,0.163,5.13,1.0,10,90.0,Blind,50.0,somewhat counterable,0.149,0.364,0.014,-0.009,0.12,1.0,"Elo-ctrl +6.0pp → tier_score +5.1pp (cb tax −1.0; impact +0.16pp clipped±4.0); Blind: somewhat counterable (cb 50/100; CVaR floor 52%; γ=+2.59) → Blind (healthy floor); OE lenses +0.16pp (fight 0.364; lane 0.014; vision -0.009; tower 0.12; obj 0.149); Blade-Chest counterable 50/100; CVaR floor 52%; γ=+2.59; answered by Orianna (51%), Cassiopeia (53%); holds vs Aurora (98%), Galio (97%); thin sample — provisional; mostly mid; n=10, raw 90%"
msi,MSI,16.13,blue,S Blind,1,Lucian,bot,5.48,0.042,5.52,0.0,6,100.0,Blind,8.0,hard to answer,0.222,-0.057,0.042,0.01,0.035,1.0,"Elo-ctrl +5.5pp → tier_score +5.5pp (cb tax −0.0; impact +0.04pp clipped±4.0); Blind: hard to answer (cb 8/100; CVaR floor 91%; γ=+2.85) → Blind (healthy floor); OE lenses +0.04pp (fight -0.057; lane 0.042; vision 0.01; tower 0.035; obj 0.222); Blade-Chest counterable 8/100; CVaR floor 91%; γ=+2.85; answered by Ashe (90%), Mel (91%); holds vs Yunara (99%), Jhin (99%); thin sample — provisional; mostly bot; n=6, raw 100%"
msi,MSI,16.13,blue,A,1,Renekton,top,3.5,-0.1,1.54,1.86,10,80.0,,81.4,highly counterable,0.08,-0.17,0.015,-0.003,-0.54,0.45,"Elo-ctrl +3.5pp → tier_score +1.5pp (cb tax −1.9; impact -0.10pp clipped±4.0); Counter: highly counterable (cb 81/100; CVaR floor 32%; γ=+0.29) → Counter (excess answerability); OE lenses -0.10pp (fight -0.17; lane 0.015; vision -0.003; tower -0.54; obj 0.08); Blade-Chest counterable 81/100; CVaR floor 32%; γ=+0.29; answered by Gnar (21%), Jayce (42%); answers Sion (100%), Rumble (97%); thin sample — provisional; mostly top; n=10, raw 80%"
msi,MSI,16.13,blue,A,2,Gnar,top,3.7,-0.021,1.51,2.18,11,81.8,,88.4,highly counterable,0.129,-0.242,0.047,0.014,0.151,0.45,"Elo-ctrl +3.7pp → tier_score +1.5pp (cb tax −2.2; impact -0.02pp clipped±4.0); Counter: highly counterable (cb 88/100; CVaR floor 35%; γ=+0.56) → Counter (excess answerability); OE lenses -0.02pp (fight -0.242; lane 0.047; vision 0.014; tower 0.151; obj 0.129); Blade-Chest counterable 88/100; CVaR floor 35%; γ=+0.56; answered by Sion (20%), Rumble (51%); answers Jax (98%), Jayce (85%); thin sample — provisional; mostly top; n=11, raw 82%"
msi,MSI,16.13,blue,A,3,Bard,sup,3.21,0.004,1.48,1.74,10,80.0,,78.6,highly counterable,0.119,-0.059,0.002,0.042,-0.051,0.45,"Elo-ctrl +3.2pp → tier_score +1.5pp (cb tax −1.7; impact +0.00pp clipped±4.0); Counter: highly counterable (cb 79/100; CVaR floor 35%; γ=+0.85) → Counter (excess answerability); OE lenses +0.00pp (fight -0.059; lane 0.002; vision 0.042; tower -0.051; obj 0.119); Blade-Chest counterable 79/100; CVaR floor 35%; γ=+0.85; answered by Seraphine (11%), Milio (44%); answers Rell (97%), Pyke (96%); thin sample — provisional; mostly sup; n=10, raw 80%"
msi,MSI,16.13,blue,A,4,Ziggs,bot,3.13,0.231,0.66,2.7,6,83.3,,100.0,highly counterable,-0.051,0.475,0.051,-0.022,0.662,0.45,"Elo-ctrl +3.1pp → tier_score +0.7pp (cb tax −2.7; impact +0.23pp clipped±4.0); Counter: highly counterable (cb 100/100; CVaR floor 2%; γ=-0.89) → Counter (excess answerability); OE lenses +0.23pp (fight 0.475; lane 0.051; vision -0.022; tower 0.662; obj -0.051); Blade-Chest counterable 100/100; CVaR floor 2%; γ=-0.89; answered by Varus (1%), Ashe (2%); answers Caitlyn (95%), Yunara (86%); side-split: red Elo -4.6pp n=9; thin sample — provisional; mostly bot; n=6, raw 83%"
msi,MSI,16.13,blue,A,5,Ahri,mid,2.9,0.078,0.28,2.7,6,83.3,,100.0,highly counterable,0.161,0.058,0.027,-0.001,0.177,0.45,"Elo-ctrl +2.9pp → tier_score +0.3pp (cb tax −2.7; impact +0.08pp clipped±4.0); Counter: highly counterable (cb 100/100; CVaR floor 7%; γ=+0.48) → Counter (excess answerability); OE lenses +0.08pp (fight 0.058; lane 0.027; vision -0.001; tower 0.177; obj 0.161); Blade-Chest counterable 100/100; CVaR floor 7%; γ=+0.48; answered by Viktor (7%), Annie (7%); answers Galio (97%), Sylas (97%); thin sample — provisional; mostly mid; n=6, raw 83%"
msi,MSI,16.13,blue,A,6,Jarvan IV,jng,2.67,-0.064,-0.09,2.7,9,77.8,,100.0,highly counterable,0.041,-0.147,-0.024,0.015,-0.174,0.45,"Elo-ctrl +2.7pp → tier_score -0.1pp (cb tax −2.7; impact -0.06pp clipped±4.0); Counter: highly counterable (cb 100/100; CVaR floor 27%; γ=+1.17) → Counter (excess answerability); OE lenses -0.06pp (fight -0.147; lane -0.024; vision 0.015; tower -0.174; obj 0.041); Blade-Chest counterable 100/100; CVaR floor 27%; γ=+1.17; answered by Vi (4%), Lee Sin (50%); answers Wukong (100%), Naafiri (98%); thin sample — provisional; mostly jng; n=9, raw 78%"
msi,MSI,16.13,blue,A,7,Jayce,top,0.98,0.224,-0.51,1.72,7,71.4,,78.2,highly counterable,0.101,0.32,0.062,0.008,0.712,0.45,"Elo-ctrl +1.0pp → tier_score -0.5pp (cb tax −1.7; impact +0.22pp clipped±4.0); Counter: highly counterable (cb 78/100; CVaR floor 31%; γ=+0.06) → Counter (excess answerability); OE lenses +0.22pp (fight 0.32; lane 0.062; vision 0.008; tower 0.712; obj 0.101); Blade-Chest counterable 78/100; CVaR floor 31%; γ=+0.06; answered by Gnar (15%), Ambessa (47%); answers Sion (99%), Jax (96%); thin sample — provisional; mostly top; n=7, raw 71%"
msi,MSI,16.13,blue,A,8,Vi,jng,1.91,0.04,-0.75,2.7,9,77.8,,100.0,highly counterable,0.172,-0.069,0.07,0.008,0.084,0.45,"Elo-ctrl +1.9pp → tier_score -0.8pp (cb tax −2.7; impact +0.04pp clipped±4.0); Counter: highly counterable (cb 100/100; CVaR floor 2%; γ=+0.63) → Counter (excess answerability); OE lenses +0.04pp (fight -0.069; lane 0.07; vision 0.008; tower 0.084; obj 0.172); Blade-Chest counterable 100/100; CVaR floor 2%; γ=+0.63; answered by Lee Sin (0%), Skarner (3%); answers Xin Zhao (100%), Nocturne (98%); thin sample — provisional; mostly jng; n=9, raw 78%"
msi,MSI,16.13,blue,B,1,Camille,sup,0.97,0.074,-0.98,2.02,10,70.0,,84.9,highly counterable,0.029,0.18,0.037,0.031,-0.021,0.45,"Elo-ctrl +1.0pp → tier_score -1.0pp (cb tax −2.0; impact +0.07pp clipped±4.0); Counter: highly counterable (cb 85/100; CVaR floor 20%; γ=+0.03) → Counter (excess answerability); OE lenses +0.07pp (fight 0.18; lane 0.037; vision 0.031; tower -0.021; obj 0.029); Blade-Chest counterable 85/100; CVaR floor 20%; γ=+0.03; answered by Seraphine (12%), Milio (17%); answers Nautilus (98%), Pyke (91%); side-split: red Elo -2.6pp n=6; thin sample — provisional; mostly sup; n=10, raw 70%"
msi,MSI,16.13,blue,B,2,Nocturne,jng,1.57,-0.029,-1.16,2.7,7,71.4,,100.0,highly counterable,0.007,-0.073,0.013,0.001,-0.088,0.45,"Elo-ctrl +1.6pp → tier_score -1.2pp (cb tax −2.7; impact -0.03pp clipped±4.0); Counter: highly counterable (cb 100/100; CVaR floor 2%; γ=+0.17) → Counter (excess answerability); OE lenses -0.03pp (fight -0.073; lane 0.013; vision 0.001; tower -0.088; obj 0.007); Blade-Chest counterable 100/100; CVaR floor 2%; γ=+0.17; answered by Vi (2%), Lee Sin (2%); answers Naafiri (98%), Wukong (95%); thin sample — provisional; mostly jng; n=7, raw 71%"
msi,MSI,16.13,blue,B,3,Mel,bot,0.76,-0.065,-1.71,2.4,7,71.4,,93.3,highly counterable,0.095,-0.197,0.046,-0.016,-0.25,0.45,"Elo-ctrl +0.8pp → tier_score -1.7pp (cb tax −2.4; impact -0.07pp clipped±4.0); Counter: highly counterable (cb 93/100; CVaR floor 25%; γ=+0.78) → Counter (excess answerability); OE lenses -0.07pp (fight -0.197; lane 0.046; vision -0.016; tower -0.25; obj 0.095); Blade-Chest counterable 93/100; CVaR floor 25%; γ=+0.78; answered by Lucian (9%), Ziggs (41%); answers Senna (97%), Jhin (97%); thin sample — provisional; flex bot:10,mid:2; n=7, raw 71%"
msi,MSI,16.13,blue,C,1,Ambessa,top,0.93,0.017,-1.75,2.7,7,71.4,,100.0,highly counterable,0.089,0.02,0.011,-0.011,-0.07,0.45,"Elo-ctrl +0.9pp → tier_score -1.8pp (cb tax −2.7; impact +0.02pp clipped±4.0); Counter: highly counterable (cb 100/100; CVaR floor 22%; γ=+0.67) → Counter (excess answerability); OE lenses +0.02pp (fight 0.02; lane 0.011; vision -0.011; tower -0.07; obj 0.089); Blade-Chest counterable 100/100; CVaR floor 22%; γ=+0.67; answered by Sion (10%), Gnar (34%); answers Jax (94%), Rumble (68%); thin sample — provisional; mostly top; n=7, raw 71%"
msi,MSI,16.13,blue,C,2,Orianna,mid,-0.45,0.012,-2.74,2.29,6,66.7,,91.0,highly counterable,0.013,-0.018,0.039,0.007,0.043,0.45,"Elo-ctrl -0.5pp → tier_score -2.7pp (cb tax −2.3; impact +0.01pp clipped±4.0); Counter: highly counterable (cb 91/100; CVaR floor 29%; γ=+1.15) → Counter (excess answerability); OE lenses +0.01pp (fight -0.018; lane 0.039; vision 0.007; tower 0.043; obj 0.013); Blade-Chest counterable 91/100; CVaR floor 29%; γ=+1.15; answered by Sylas (8%), Viktor (49%); answers Ryze (98%), Aurora (95%); thin sample — provisional; mostly mid; n=6, raw 67%"
msi,MSI,16.13,blue,C,3,Ezreal,bot,-0.24,0.117,-2.82,2.7,9,66.7,,100.0,highly counterable,0.071,0.319,-0.051,-0.011,0.117,0.45,"Elo-ctrl -0.2pp → tier_score -2.8pp (cb tax −2.7; impact +0.12pp clipped±4.0); Counter: highly counterable (cb 100/100; CVaR floor 1%; γ=+0.70) → Counter (excess answerability); OE lenses +0.12pp (fight 0.319; lane -0.051; vision -0.011; tower 0.117; obj 0.071); Blade-Chest counterable 100/100; CVaR floor 1%; γ=+0.70; answered by Caitlyn (1%), Lucian (1%); answers Varus (100%), Jhin (99%); side-split: red Elo +4.0pp n=9; thin sample — provisional; mostly bot; n=9, raw 67%"
msi,MSI,16.13,blue,C,4,Varus,bot,-0.18,0.027,-2.85,2.7,11,63.6,,100.0,highly counterable,0.084,0.119,-0.014,0.007,-0.208,0.45,"Elo-ctrl -0.2pp → tier_score -2.9pp (cb tax −2.7; impact +0.03pp clipped±4.0); Counter: highly counterable (cb 100/100; CVaR floor 2%; γ=+0.57) → Counter (excess answerability); OE lenses +0.03pp (fight 0.119; lane -0.014; vision 0.007; tower -0.208; obj 0.084); Blade-Chest counterable 100/100; CVaR floor 2%; γ=+0.57; answered by Ezreal (0%), Lucian (3%); answers Ziggs (99%), Jhin (97%); thin sample — provisional; flex bot:11,top:2; n=11, raw 64%"
msi,MSI,16.13,blue,D,1,Taliyah,mid,-0.25,-0.079,-3.02,2.7,6,66.7,,100.0,highly counterable,0.013,-0.158,-0.026,0.01,-0.219,0.45,"Elo-ctrl -0.2pp → tier_score -3.0pp (cb tax −2.7; impact -0.08pp clipped±4.0); Counter: highly counterable (cb 100/100; CVaR floor 3%; γ=-0.66) → Counter (excess answerability); OE lenses -0.08pp (fight -0.158; lane -0.026; vision 0.01; tower -0.219; obj 0.013); Blade-Chest counterable 100/100; CVaR floor 3%; γ=-0.66; answered by Annie (2%), Ahri (4%); answers Aurora (95%), Sylas (95%); thin sample — provisional; flex mid:10,bot:1; n=6, raw 67%"
msi,MSI,16.13,blue,D,2,Ryze,mid,-1.8,-0.102,-4.6,2.7,7,57.1,,100.0,highly counterable,-0.102,-0.237,0.004,0.018,-0.079,0.45,"Elo-ctrl -1.8pp → tier_score -4.6pp (cb tax −2.7; impact -0.10pp clipped±4.0); Counter: highly counterable (cb 100/100; CVaR floor 4%; γ=-0.73) → Counter (excess answerability); OE lenses -0.10pp (fight -0.237; lane 0.004; vision 0.018; tower -0.079; obj -0.102); Blade-Chest counterable 100/100; CVaR floor 4%; γ=-0.73; answered by Orianna (2%), Cassiopeia (6%); answers Annie (73%), Galio (68%); thin sample — provisional; mostly mid; n=7, raw 57%"
msi,MSI,16.13,blue,E,1,Anivia,top,-2.65,0.017,-5.33,2.7,6,50.0,,100.0,highly counterable,0.016,-0.01,0.039,0.007,0.06,0.45,"Elo-ctrl -2.6pp → tier_score -5.3pp (cb tax −2.7; impact +0.02pp clipped±4.0); Counter: highly counterable (cb 100/100; CVaR floor 6%; γ=+0.38) → Counter (excess answerability); OE lenses +0.02pp (fight -0.01; lane 0.039; vision 0.007; tower 0.06; obj 0.016); Blade-Chest counterable 100/100; CVaR floor 6%; γ=+0.38; answered by Renekton (5%), Jayce (8%); answers Sion (95%), Ambessa (87%); thin sample — provisional; flex top:4,mid:2; n=6, raw 50%"
msi,MSI,16.13,blue,E,2,Naafiri,jng,-3.1,0.032,-5.77,2.7,8,50.0,,100.0,highly counterable,-0.097,0.204,-0.027,-0.016,-0.045,0.45,"Elo-ctrl -3.1pp → tier_score -5.8pp (cb tax −2.7; impact +0.03pp clipped±4.0); Counter: highly counterable (cb 100/100; CVaR floor 2%; γ=-0.62) → Counter (excess answerability); OE lenses +0.03pp (fight 0.204; lane -0.027; vision -0.016; tower -0.045; obj -0.097); Blade-Chest counterable 100/100; CVaR floor 2%; γ=-0.62; answered by Nocturne (2%), Vi (2%); answers Wukong (100%), Skarner (98%); thin sample — provisional; mostly jng; n=8, raw 50%"
msi,MSI,16.13,blue,E,3,Annie,mid,-4.41,0.011,-7.1,2.7,7,42.9,,100.0,highly counterable,-0.038,0.001,-0.008,-0.0,0.17,0.45,"Elo-ctrl -4.4pp → tier_score -7.1pp (cb tax −2.7; impact +0.01pp clipped±4.0); Counter: highly counterable (cb 100/100; CVaR floor 6%; γ=-0.11) → Counter (excess answerability); OE lenses +0.01pp (fight 0.001; lane -0.008; vision -0.0; tower 0.17; obj -0.038); Blade-Chest counterable 100/100; CVaR floor 6%; γ=-0.11; answered by Viktor (5%), Orianna (6%); answers Taliyah (98%), Galio (94%); thin sample — provisional; mostly mid; n=7, raw 43%"
msi,MSI,16.13,blue,F,1,Wukong,jng,-5.43,-0.056,-8.19,2.7,8,37.5,,100.0,highly counterable,-0.218,-0.031,-0.041,-0.003,0.066,0.45,"Elo-ctrl -5.4pp → tier_score -8.2pp (cb tax −2.7; impact -0.06pp clipped±4.0); Counter: highly counterable (cb 100/100; CVaR floor 0%; γ=-2.73) → Counter (excess answerability); OE lenses -0.06pp (fight -0.031; lane -0.041; vision -0.003; tower 0.066; obj -0.218); Blade-Chest counterable 100/100; CVaR floor 0%; γ=-2.73; answered by Trundle (0%), Naafiri (0%); answers Vi (90%), Qiyana (66%); thin sample — provisional; mostly jng; n=8, raw 38%"
msi,MSI,16.13,blue,F,2,Aurora,mid,-7.72,0.027,-10.39,2.7,6,16.7,,100.0,highly counterable,-0.173,0.257,-0.012,-0.004,-0.146,0.45,"Elo-ctrl -7.7pp → tier_score -10.4pp (cb tax −2.7; impact +0.03pp clipped±4.0); Counter: highly counterable (cb 100/100; CVaR floor 1%; γ=-1.36) → Counter (excess answerability); OE lenses +0.03pp (fight 0.257; lane -0.012; vision -0.004; tower -0.146; obj -0.173); Blade-Chest counterable 100/100; CVaR floor 1%; γ=-1.36; answered by Sylas (1%), Viktor (2%); answers Annie (92%), Syndra (67%); thin sample — provisional; mostly mid; n=6, raw 17%"
