scope,label,patch,side,tier,rank_in_tier,champ,role,elo_pp,impact_pp,tier_score,counterability_tax,n,raw_wr,archetype,cb_score,cb_label,obj_pp,fight_pp,lane_pp,vision_pp,tower_pp,lambda,why
ewc,EWC,16.13,blue,Z Blind,1,Orianna,mid,4.84,0.003,4.57,0.28,9,77.8,Blind,,,0.138,-0.157,0.027,0.021,0.137,0.55,"Elo-ctrl +4.8pp → tier_score +4.6pp (cb tax −0.3; impact +0.00pp clipped±4.0); Blind: unknown counterability — mild safety tax; OE lenses +0.00pp (fight -0.157; lane 0.027; vision 0.021; tower 0.137; obj 0.138); cb unknown → prior 45; thin sample — provisional; mostly mid; n=9, raw 78%"
ewc,EWC,16.13,blue,S Blind,1,Ezreal,bot,4.6,0.134,4.46,0.28,4,100.0,Blind,,,0.084,0.192,0.013,-0.031,0.47,0.55,"Elo-ctrl +4.6pp → tier_score +4.5pp (cb tax −0.3; impact +0.13pp clipped±4.0); Blind: unknown counterability — mild safety tax; OE lenses +0.13pp (fight 0.192; lane 0.013; vision -0.031; tower 0.47; obj 0.084); cb unknown → prior 45; side-split: red Elo +1.0pp n=12; thin sample — provisional; flex bot:15,sup:1; n=4, raw 100%"
ewc,EWC,16.13,blue,S Blind,2,Lee Sin,jng,3.17,-0.018,2.88,0.28,9,66.7,Blind,,,0.047,-0.096,0.016,-0.002,-0.004,0.55,"Elo-ctrl +3.2pp → tier_score +2.9pp (cb tax −0.3; impact -0.02pp clipped±4.0); Blind: unknown counterability — mild safety tax; OE lenses -0.02pp (fight -0.096; lane 0.016; vision -0.002; tower -0.004; obj 0.047); cb unknown → prior 45; thin sample — provisional; mostly jng; n=9, raw 67%"
ewc,EWC,16.13,blue,S Blind,3,Jayce,top,2.87,0.165,2.76,0.28,7,71.4,Blind,,,0.168,0.208,0.07,0.011,0.388,0.55,"Elo-ctrl +2.9pp → tier_score +2.8pp (cb tax −0.3; impact +0.17pp clipped±4.0); Blind: unknown counterability — mild safety tax; OE lenses +0.17pp (fight 0.208; lane 0.07; vision 0.011; tower 0.388; obj 0.168); cb unknown → prior 45; thin sample — provisional; mostly top; n=7, raw 71%"
ewc,EWC,16.13,blue,S Blind,4,Leona,sup,2.96,-0.025,2.66,0.28,7,71.4,Blind,,,0.085,-0.1,-0.032,0.033,-0.054,0.55,"Elo-ctrl +3.0pp → tier_score +2.7pp (cb tax −0.3; impact -0.03pp clipped±4.0); Blind: unknown counterability — mild safety tax; OE lenses -0.03pp (fight -0.1; lane -0.032; vision 0.033; tower -0.054; obj 0.085); cb unknown → prior 45; thin sample — provisional; mostly sup; n=7, raw 71%"
ewc,EWC,16.13,blue,S Blind,5,Akali,mid,1.99,-0.034,1.69,0.28,4,75.0,Blind,,,0.154,-0.186,-0.002,0.0,-0.042,0.55,"Elo-ctrl +2.0pp → tier_score +1.7pp (cb tax −0.3; impact -0.03pp clipped±4.0); Blind: unknown counterability — mild safety tax; OE lenses -0.03pp (fight -0.186; lane -0.002; vision 0.0; tower -0.042; obj 0.154); cb unknown → prior 45; thin sample — provisional; mostly mid; n=4, raw 75%"
ewc,EWC,16.13,blue,S Blind,6,Jarvan IV,jng,1.96,-0.055,1.63,0.28,8,62.5,Blind,,,-0.085,-0.038,-0.036,0.015,-0.161,0.55,"Elo-ctrl +2.0pp → tier_score +1.6pp (cb tax −0.3; impact -0.06pp clipped±4.0); Blind: unknown counterability — mild safety tax; OE lenses -0.06pp (fight -0.038; lane -0.036; vision 0.015; tower -0.161; obj -0.085); cb unknown → prior 45; side-split: red Elo -5.2pp n=11; thin sample — provisional; mostly jng; n=8, raw 62%"
ewc,EWC,16.13,blue,A,1,Poppy,jng,0.9,0.009,0.63,0.28,5,60.0,,,,0.109,-0.072,0.019,-0.01,0.052,0.55,"Elo-ctrl +0.9pp → tier_score +0.6pp (cb tax −0.3; impact +0.01pp clipped±4.0); Blind: unknown counterability — mild safety tax; OE lenses +0.01pp (fight -0.072; lane 0.019; vision -0.01; tower 0.052; obj 0.109); cb unknown → prior 45; thin sample — provisional; flex jng:5,sup:1; n=5, raw 60%"
ewc,EWC,16.13,blue,A,2,Cassiopeia,mid,0.76,-0.062,0.43,0.28,5,60.0,,,,0.056,-0.037,-0.015,-0.014,-0.471,0.55,"Elo-ctrl +0.8pp → tier_score +0.4pp (cb tax −0.3; impact -0.06pp clipped±4.0); Blind: unknown counterability — mild safety tax; OE lenses -0.06pp (fight -0.037; lane -0.015; vision -0.014; tower -0.471; obj 0.056); cb unknown → prior 45; thin sample — provisional; flex mid:11,bot:3; n=5, raw 60%"
ewc,EWC,16.13,blue,A,3,Rell,sup,0.71,-0.024,0.41,0.28,5,60.0,,,,0.007,-0.087,0.0,-0.007,0.032,0.55,"Elo-ctrl +0.7pp → tier_score +0.4pp (cb tax −0.3; impact -0.02pp clipped±4.0); Blind: unknown counterability — mild safety tax; OE lenses -0.02pp (fight -0.087; lane 0.0; vision -0.007; tower 0.032; obj 0.007); cb unknown → prior 45; thin sample — provisional; mostly sup; n=5, raw 60%"
